essay,topic,source,leadership,initiative,growth,motivation,values
"Driverless cars, good or bad? To me, driverless cars isn't the worse thing ever thought of but it isn't the smartest either. I'm against driverless cars. Technology does fail, who would want to risk that in a car?

Today, people are worried a lot about technology and driving. Having a driverless car could distract anyone because they'd probably get side tracked with all the technology inside the car. It's a waste of money and time. I also feel like it's just being lazy. What's wrong with just driving yourself?

Another problem with this driverless car is, who is there to blame if there's an accident? There might be some people who fall for the concept ""Driverless"". There would also be constant worries for the driver. Technology does fail, so riding in car that's bound to destruct and/or just fail you'd be worried constantly when all you really wanna do is hop in the car and reach your destination safely.

The last problem is what's really the point of a driverless car and you have to keep your hands on the wheel and be ready for anything that comes your way, as stated in the story. There's no point of a driverless car unless your lazy and there are taxi's for that matter. Needless to say, a driverless car isn't the best thing to drive. Especially when it's supposed to be driverless.

In conclusion, driverless cars are useless. Technology fails, people get distracted by it, and you wouldn't know who to blame if the car was crashed or even destructed, and there's no point of the car what so ever.",Driverless cars,asap,0.0,0.0,1.0,2.0,2.0
"Rene Descartes’ Rational Choice Theory Essay

Rene Descartes is arguably the father of modern philosophy; he is the one philosopher who is heralded for the introduction of algebra and the connection that lay between algebra and the scholarly subject of geometry. His most famous artwork, however, is “Meditations on first philosophy”. This is a short work that was first published in 1641 in the French language called Meditationes de Prima. In work, he provides a truth-seeking foundation for the possibilities presented by science.

Skepticism is one tool that Descartes uses to offer the underlying issues of education and knowledge. Personally, he is not a skeptic but uses this to raise the curiosity of the reader to try and find out the possibilities that scientific knowledge offers. He asks questions such as: how true is the fact that the world revolves in a solar system. This skeptic approach leaves the reader with no alternative but to undertake studies to determine the truth behind the analogy of the solar system. There developed a number of critics of his works, especially his skeptic approach, and in a way, he achieved his objective of adding unto knowledge as thereafter in an attempt to prove him wrong, the critics set about running researched and writing books of concepts determining the truth behind the scientific knowledge. Such great critics of Descartes’s works included theologians and fellow philosophers key among them being Arnauld, Hobbes, and Caterus, all of whom wrote back books trying to determine the truth behind the allegations that Descartes had leveled against their fields of specialization.

In coming up with most of his philosophies, Descartes employed lots of rationalism. Rationalism, as per his definition, is any view that appeals to reason and, more specifically, as being the spring of knowledge or an explanation. Descartes believed that reason has preference over other ways of acquiring knowledge. He, therefore, used this to come up with lots of explanations, especially on political enlighten, as he emphasized on political reasoning. Politics is currently just a pile of rational reasoning upon which a state is governed. Parliaments all over the world are constituted of law makers, the law in its earnest is a pile of rational ideas that are well spelt out and aimed at guiding the actions that should be taken given any eventuality. This was one of the ideas that Descartes forged for.

Rational choice theory was one of the theories that he put forward and this is a theory that has found lots of relevance in several spheres of life politics and microeconomics today. In politics and microeconomics the theory dictates that human nature calls for more rather than less of good it is meant to help model both social and economic behavior. It is this philosophy that democracy and free market economies are pegged on. Democracy calls for the free and fair election of legislators and other people who are to occupy positions of leadership. In doing this, the electorate normally looks for more good in the individuals to be elected and the people perceived to be the best in character and trait with more good than others normally get elected. In a nut shell the community wants more of the good. The good is again relative and subject to determination by the populace. In one way or the other, the populace always has a way of determining that individual with averagely more good in his or her traits that the rest of the contenders. These finally get elected into office through a majority vote.

In the subject of micro economics, rational choice refers to the act of searching an affordable way to complete a task with no regard to value of achieved goal. In several economies what would benefit a majority of the people has often been considered at the expense of the cost of its application. Financé windows that let a currency lose value while trade is boosted and the prices of commodities fall drastically is a common practice in the microeconomics discourse.

In his definition, the term ration is not as it is in dictionaries and has been used by several people in the academic spheres. To most people, rational is synonymous to “sane” or “sound” in a thoughtful or clear minded manner. Descartes in his philosophy adopts a narrower perspective of the term rational. According to him, the term refers to the act of balancing one’s actions between cost and gain. The choice of the decision arrived at should be that which benefits a majority.

Most of the ideas that Descartes put forward to offer explanations to most of the occurrences around the daily human lives were built upon some of his mentors, people that he largely borrowed their ideas. Such a person that he quoted in most of his books and used lots of his ideas was Plato. Plato ascribed to the school of thought that believed in rational thinking as well. He put forward most of his philosophical reasoning in the course and effect formula and this is a style that was so adversely adorned by Descartes. Descartes therefore used this to provide reasoning in areas that were largely ignored such as education. This therefore justifies the topic that reads that he was the Pluto of the caves. “The caves” referring to the dark and ignored discourses that he undertook to offer explanations in.","Rene Descartes is one of the most important philosophers in modern times. He is best known for his work ""Meditations on First Philosophy"", which was first published in 1641 in the French language as Meditationes de Prima. In this work, he provides a truth-seeking foundation for the possibilities presented by science. 

Descartes employed lots of rationalism in coming up with most of his philosophies. Rationalism, as per his definition, is any view that appeals to reason and, more specifically, as being the spring of knowledge or an explanation. He believed that reason has preference over other ways of acquiring knowledge. He, therefore, used this to come up with lots of explanations, especially on political enlighten, as he emphasized on political reasoning.",essays_with_titles,1.0,0.0,1.0,2.0,2.0
"Hi my name is Luke Bomberger and I am here to talk about the seagoing cowboys program. Belive it or not I was in that program back when I was younger oh and what fun it was. We whent everywhere the crew and me. Im tell you it was amazing I was about 17 or 18 and we crossed the pasific ocean to China and all kinds of other places!

We joind that program because it would be an exiting adveture. The other most importan reason we joind is because we get to help many peole acrossed the world and isent that what its all about?

The jobs you could have on board are somewhat fun but some are not fun at al like the droppings of the animals someone has to clean thoes up but not all are so bad, my personal favorit was lowering the flag to set sail when the wind was blowing.

Now on the boat you also have to be carefull it is slippery when a storm comes by and you could slip on the wood. But I do have to warn you about lowering the flag, I was up on the ladder on stormy night and I slipped and slid dow the ladder on my backside and heading strigt for the edge of the boad but I was stoped by some metal rims on the side but I still could not work for a few days because of broken ribs! So as I was saying be very carefull on the ship.

The top is also very fun you and your crew could crack jokes and on the way back we ues to play games read, wittel, and boxing so you kids these days can do what you normaly do in your free timelike play on thoes ear phons of yours OH im sorry i ment Iphons or you kindel ices oh fire kindel fire not kindel ices how silly of me but you know what I mean

well it is now time for me to go but I do hope you think about joinin the program and goog luck on your future adventurs.","""A Cowboy Who Rode the Waves""",asap,2.0,2.0,1.0,3.0,3.0
"The Facial Action Coding System I believe to be a great idea. The Facial Action Coding System begins when the computer construcrs a 3-D computer model of the face; all 44 major muscles in the model must move like human muscles. Using something like this could be good or bad, because maybe not all students or parents feel comfortable with teachers being able to read their childs emotions. Being able to read some students emotions may help with potential problems with the child to see how they are really feeling. One main reason I am for this invention is in paragraph 6 in the artical it says "" A classsroom computer could recognize when a student is becoming confused or bored"", Dr. Huang predicts ""Then it could modify the lesson, like an effective human instructor. The Facial Acting Coding System might actually be more accurate than you think, because the creaters have thought ahead, maybe you're feeling a certain way but the computer say differently, or your exspressions for some emotions could be slightly different than oothers. Paragraph 4 in the artical "" even though individuals often shoe varying degrees of expression"" ( like not smiling as broadly). Using video imagery, the new emotion-recognition software tracks these facial movements- in a real face. By weighing the different units, the software can even identify mixed emotions. Each expression is compared against a neutral face. In conclusion your home PC can't handle something as complex as decoding Mona Lisa's smile. But it can write down simple instructions that ""encode"" differnt emotions.",Facial action coding system,asap,0.0,0.0,1.0,2.0,2.0
"My why chicago essay: Question 1. How does the University of Chicago, as you know it now, satisfy your desire for a particular kind of learning, community, and future? Please address with some specificity your own wishes and how they relate to Chicago. Word limit: one paragraph or two ""Read the SCAV HUNT list, if you roll on the floor laughing then you are a Chicago kid"" Those were the exact words a U Chicago student said when I asked him about the school. Of course, I googled the ""SCAV HUNT list"" immediately and I was faced with a humongous list of bizarre things. I did not, however, ""roll on the floor laughing"" as the student puts it explicitly. Instead, I was laughing my head off in my chair. I can't help but marvel at the level of intelligence needed to come up with things so outlandish and odd! A normal person (a sane one) sure can't think of all those ideas, so outwardly crazy and yet somewhat plausible. In a world filled with students from the same cookie-cutter educational system, a Chicago student is so delightfully recognizable and different. It was then that I made up my mind that I wanted to go to University of Chicago. Robert Maynard Hutchins, who led Chicago from1929 to 1951, once said ""Having fun is a form of intelligence."" In my point of view, the SCAV HUNT is the epitome of that phrase. It takes a common idea of scavenger hunt and totally transforms it into such a spectacular version. The students have fun not in typical ways such as partying, but in a creative and unconventional way that sets University of Chicago apart. This reflects a lot about the school. I can see that the students are intellectuals; they think outside of the box and are never constrained by what the society deems normal. No doubt, U Chicago is a school known for hardworking and intelligent people, but it is also a school for people who know how to find joy in learning itself. This is what I want to do - learning just for learning's sake, adding a bit of creativity, and enjoying a college education unlike any other. I want to be part of a community so unique and special. I want to become an outstanding individual that is not bounded by the norm. I want to be a Chicago Kid. My FIND X essay: Today is New Year's Eve. As cliché as it may sound, I am doing up my New Year resolutions. I have all the typical things you can find in a New Year resolution: A new look, get into college, get in shape etc .However, the list just doesn't seem right. Something is definitely missing, and I can't put my finger on it. This is a New Year's Eve mystery. I am determined to find the missing item on my list, so let's called it X. To successfully find X, I certainly can't go about investigating it aimlessly. To help solve this mystery is a list of suspects: 1) A heart of gratitudeI almost forgot about this. It is something that everyone assumes that they have, but in actuality not many people are thankful. This year, I was unfortunately one of them. To me, the cup seemed to be always half empty. Negative feelings such as anger and sadness tend to form a barrier around my heart of gratitude. I tend to take what I have for granted, and there are times where I feel like the universe revolves around me and the self-centred part of me surfaces. There are so many aspects in life to be thankful for. I could thank the sun for shining bright everyday; I could thank the air for being refreshing; and I could thank my mum for cooking me breakfast every day. If I could just take a moment and think about what the world has done for me, I will realise that my world has suddenly taken on a brighter colour and I feel like a happier person already. The cup is now half-filled. 2) ForgivenessAs the old saying goes, ""Past is History, Future is a Mystery and Today is Gift and hence it is called the Present"". Live the moment and not dwell in the past mistakes and hatred. Learning to forgive myself and forgive others is a difficult thing to do. Hatred is the kind of memory that stays the longest, because the trauma it created in the first place is so deep-rooted. Learning to forgive is what I should have done ages ago: whether it be learning to forgive a friend who had said hurtful words in the heat of an argument, or learning to forgive myself for underperforming in a major examination. Only when there is true forgiveness can I progress and move on. 3)MotivationWhat is my goal in life? Last year it was acing my A level examinations, but what about this year? Every year I am faced with the same quest of finding my identity and my goal. Every year there is a different aim, usually a short term one. Despite these goals, I had difficulty actually achieving them. That is, until something finally struck a chord in me: What I need is motivation. Motivation is a form of adrenaline rush; it is something that drives me to wake up every day - and not because I've had enough sleep, but because I have something to look forward to. Motivation is an emotion; it is unpredictable. It can materialize into the thirst for knowledge, or it can take the form of desire for something. Motivation is a pre-requisite in life. Life will be meaningless without motivation. So what is X? What is the missing element from my New Year resolution?Maybe nothing is missing. Maybe X was simply that I needed this time to reflect on myself - and maybe I just solved the New Year's Eve mystery. THANK YOU FOR UR HELP",unknown,essayforum,2.0,3.0,4.0,5.0,4.0
"People seem to believe, that the face on Mars, has to do with aliens. But that is wrong.

The ""Face on Mars"" is one of the most popular things about space. It has been featured on a Hollywood production, Its been seen in books, and it has even been the talk, on a Radio talk show.

NASA is also the talk when someone brings up the ""Face on Mars"" topic, because people believe that NASA is hiding something from them. NASA has also been angry to saying "" Defenders of the NASA budget wish there was acient civilliation on Mars"".

But how could NASA know if there are aliens there or not?

The very first picture of the ""Face of Mars"" was taken in 1976. They came back two decades later, in 1998, and took another picture. Three years later, they came back a third time, and took a one last and final picture.

Looking at these three photographs, you can see a natural affect happening. On the first picture, it simply looks like four small hills on a rectangular canvas. In the second photograph, the light affect was blocking half of the picture, so you could barely see anything. On the third picture, you cant even see anything but cracks in the ground.

I can however, see what some people are talking about, when they say that the ""Face on Mars"" looks a little fishy, can you really just jump to conclusuon. I think a person with a delusional mind, saw one thing, and wanted to turn it into something it wasn't. People are just so fed up on aliens and the supernatural, they can't seem to just look at the more simple side of things.",The Face on Mars,asap,0.0,0.0,1.0,1.0,2.0
"Upon arriving at Miami University in August 2012, it was not long before I realized that this school was just not the right fit for me. My reasons for wanting to transfer are mostly attributed to my own change of interests though the school is responsible for influencing my decision as well. My high school career consisted of engineering courses as I was a part of my schools engineering program. The required courses that I had to take included Auto Cad, Cisco, and Computer Science; I was also given multiple paid and non-paid internships throughout my last two years. Even though I was sure I wanted to someday be a recording artist, when starting college I decided to continue my education in architecture and engineering. In my eyes, college and music could not be intertwined. If I wanted to be a musician I would have to focus primarily on that and college would be too much of a distraction; it would be too hard to balance the two. In this case, college would become my plan B. I would attend college and put my dreams on hold until I had a degree and presumably something to fall back on if my music career did not kick off. When college started and I started delving into my architecture and engineering courses, I realized I had made a huge mistake. Those two subjects were just not for me. I found myself bored; yearning for a change to music. At this school, a switch to music was logical as I was already a part of the Creative Arts department through architecture. But, the music programs at the school are only dedicated to students who hope for a career in instrumentation and vocalization; two subjects with which I have experience and though they are somewhat similar, they are entirely different from a major in recorded music. But, then I found out about the Clive Davis Institute of Recorded Music at NYU. I realized that the institute was committed to developing young entrepreneurs by providing its students with courses that explore the history &amp; criticism, artistic, business, and production aspects of the industry. These attributes mask by desires exactly. I was interested in finding a program that could allow me to expand my knowledge in recorded music; primarily in Hip Hop. I have dedicated at least five years of my life so far to the study of Hip Hop and DancehallReggae music, lyrics, and culture. I have educated myself on the histories while writing lyrics of my own and analyzing the genres place in popular culture. Today, I have completely changed the focus of my college courses and shifted more towards my interest in music. Aside from my own change of interests, I decided to transfer from Miami University because of its location and lack of diversity. Miami is located in an area where trying to pursue a career in music is near impossible. It's rural and secluded setting makes it difficult for me to properly expose myself to the music industry. Alongside that, Miami has a one sided community. Not only does the school lack cultural diversity, but all of the students seem to be preoccupied with one thing; partying. The students here do not share the same intellectual curiosity as I do.",unknown,essayforum,2.0,3.0,4.0,5.0,4.0
"""Dominique, you're like the whitest black guy I know,"" a friend once told me. According to my peers, I have a serious problem with not acting black enough. My good grades, multiple leadership roles and involvement in the school's orchestra are all reasons that my peers utilize to say that I do not act ""Black"" enough and claiming that my athleticism is the only thing ""Black"" about me. At first encounter, I did not realize that ""acting white"" was really a major issue until hearing about the issue in the words of Barack Obama, Bill Crosby, and a report done by a leading economist at Harvard University. Throughout most of my high school career, I have been one of the few Black students in my above level classes while the rest of my Black friends stayed in on-level classes and generally took school less seriously. My desire to fit in with the rest of ""Black"" kids resulted in a drop in my previously stellar grades and a sudden disregard for the intellectual matters over which I used to obsess over. After a while, I realized that I do not have to make C's to be considered ""Black"" and my grades began to pick back up and my obsession with intellectual matters was rekindled. But still, I wondered about how many other Blacks nationwide were going through what I had went through. For a while, I was too busy with school to research on the effects of ""acting white"". Then one day when looking for someone who is influential to me (Barack Obama) I saw that as a Black intellectual he was accused of ""acting white"". I began to research the subject more deeply and realized that this is more than just a problem in my area, but a nationwide epidemic and even Obama addressed the issue in a Keynote address at the Democratic Convention in 2004. This essay is incomplete and I would like to know where i should go with the essay.",unknown,essayforum,2.0,2.0,4.0,3.0,5.0
"From my opinion I think this is one of the best technologys I ever heard about. I think this technology would be a great use for students and should be allowable at schools to read the students emotional expressions. If this technology can be worked by students then it is most definitley I would love to work with this technology. I am pretty sure more students would work with this technolgy and have fun with it. And when I saying if students can work on it, I mean by making a class for this technology and have the class make more brilliant ideas and make more technololgy like this emotional reader. That is why I think this technology should be allowed at schools for the use of students and also teachers.

In schools we have many classes like Math, English, History and etc. But it would be nice to have a class about technology and have this technology in the class so students can learn how to use it and how it was made. Time bye time the students are going to know more of this technology and then this could work for the help of many students. Once they come in to class if you see them in a different mood the teacher can either send you to the office or she can do it her self to see what type of emotional expression does the student have. So this machine would be very good and it would help the school a lot with their students.

With this type of technology it would tell us what the other person is feeling or what were they thinking if we know. Like we can get a picure of Abraham Lincoln and we can read how he was when they took the picture. Not just with Abraham Lincoln but with everybody in the old age that has an original picure or painting of themselves. It would be very cool to see what they were feeling. And I am pretty sure whoever invented this machine would make a ton of money if he tells the world what he has created.

So like I said in the beginning, this is probably the best technology I ever heard about before either then the technolgy apple. This technology would be a great use for students at their schools. Not just for students but for teachers too and maybe they can have this technology at jobs and other places. Me personally if I had this technology I would use it every time I wake up and evety time I go to bed so I would know how my day went. And finally this is why I think this technology to read the emotional expressions of students in a classroom shoud be valuable.",Facial action coding system,asap,0.0,1.0,1.0,2.0,2.0
"I do not believe the development of the driverless car is a good idea. The creating process would be too expensive. Most of the ""driverless"" cars today still need a person to operate at certain points.

In the 1950's General Motors made a test track and concept car. They placed electrical cables that sent radio signals to a reciever on the front of the car. Engineers at Berkely did something similar but with magnets. And although it worked it would need major updatese to existing roads that is way to expensive to be done. Driverless cars may seem like a good and safe alternative but they're too expensive.

Google has had cars that can drive themself since 2009, but these cars can only operate under certain conditions. And there still needs to be a driver for pulling in and out of driveways or dealing with complicated traffic issues. So ""driverless"" cars still technically need a driver to preform certain tasks.

BMW made the ""Traffic Jam Assistant"" that can drive up to 25 mph, but it still needs a driver to have their hands on the wheels at all time. None of the cars that have been developed so far are completely driverless. Some cars can steer, accelerate, and brake themeselves but still alert the driver when human skills are needed.

""Driverless"" cars are too impractical to be developed. They are too expensive, and most of the time still require a human driver to assist.",Driverless cars,asap,0.0,1.0,1.0,2.0,2.0
